captured_at,date,sport,home_team,away_team,market,book,home_odds,away_odds,over_odds,under_odds,total_line
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,spread,fanduel,-178,146,,,
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,total,fanduel,,,-106,-114,9.0
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,moneyline,draftkings,-120,-101,,,
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,spread,draftkings,-195,160,,,
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,total,draftkings,,,-106,-114,9.0
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,moneyline,betmgm,-115,-105,,,
2026-07-03T20:41:40,2026-07-03,MLB,Atlanta Braves,New York Mets,total,betmgm,,,-110,-110,9.0
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,moneyline,fanduel,130,-154,,,
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,spread,fanduel,-118,-102,,,
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,total,fanduel,,,-105,-115,11.5
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,moneyline,draftkings,128,-154,,,
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,spread,draftkings,-116,-104,,,
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,total,draftkings,,,-108,-112,11.5
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,moneyline,betmgm,125,-155,,,
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,spread,betmgm,-118,-102,,,
2026-07-03T20:41:40,2026-07-04,MLB,Colorado Rockies,San Francisco Giants,total,betmgm,,,-110,-110,11.5
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,moneyline,fanduel,-108,-108,,,
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,spread,fanduel,-192,158,,,
